galtileid,twinkles_system
1000167449,1100
1000672655,1101
1002264604,1102
1003395427,1103
1004432680,1104
1005849350,1105
1006047048,1106
1007399076,1107
1007972523,1108
1008311482,1109
1008587947,1110
1008758037,1111
1008993212,1112
1009436061,1113
1009639797,1114
1012058122,1115
1012672707,1116
1013530878,1117
1013536299,1118
1015276391,1119
1017398865,1120
1017785768,1121
1018727681,1122
1018988292,1123
1019555367,1124
1019592732,1125
1019751017,1126
1021510166,1127
1021979135,1128
1022479915,1129
1022581720,1130
1023720966,1131
1028186360,1132
1028948301,1133
1029212262,1134
1030631525,1135
1000105275,1136
1000408974,1137
1000483557,1138
1000748737,1139
1001096924,1140
1001306369,1141
1001718039,1142
1001833556,1143
1001872880,1144
1002143266,1145
1002510721,1146
1002785450,1147
1003069701,1148
1003236428,1149
1003539714,1150
1003575613,1151
1003583552,1152
1003664747,1153
1003819343,1154
1004093217,1155
1004769424,1156
1005852839,1157
1006237143,1158
1006661483,1159
1006688948,1160
1006824200,1161
1007347454,1162
1007618597,1163
1007647579,1164
1007890544,1165
1008075077,1166
1008150287,1167
1008189439,1168
1008433340,1169
1008704812,1170
1008876612,1171
1009054728,1172
1009289208,1173
1009353391,1174
1009381138,1175
1009495522,1176
1009511622,1177
1009715095,1178
1009731938,1179
1010141628,1180
1010205896,1181
1010528693,1182
1010810917,1183
1010852913,1184
1012248731,1185
1012877808,1186
1012884036,1187
1013335718,1188
1013474166,1189
1013694853,1190
1013780988,1191
1013968560,1192
1014013248,1193
1014165655,1194
1014510478,1195
1014583827,1196
1014748547,1197
1014863117,1198
1015134446,1199
1015175926,1200
1015189146,1201
1015232988,1202
1015320445,1203
1015421503,1204
1015448917,1205
1015667794,1206
1015696796,1207
1016588758,1208
1016766815,1209
1016863026,1210
1017062374,1211
1017803313,1212
1018218278,1213
1018683924,1214
1019108293,1215
1019262016,1216
1019417253,1217
1019511050,1218
1019574717,1219
1020336282,1220
1020416156,1221
1020545204,1222
1021118779,1223
1021294287,1224
1021324253,1225
1021336403,1226
1021701506,1227
1022036908,1228
1022270477,1229
1023047058,1230
1023580723,1231
1023685902,1232
1023939631,1233
1024037637,1234
1024242259,1235
1024923697,1236
1025202654,1237
1025445897,1238
1025489442,1239
1025510294,1240
1026073535,1241
1026326058,1242
1026798105,1243
1027092767,1244
1027131384,1245
1027153195,1246
1027640668,1247
1027687844,1248
1027862301,1249
1027886175,1250
1028097026,1251
1028319373,1252
1028796172,1253
1028959554,1254
1029023867,1255
1029031339,1256
1029228152,1257
1029529251,1258
1029735227,1259
1030469125,1260
1030760651,1261
1031116322,1262
1031678759,1263
1031775246,1264
1042788234,1265
1044560254,1266
1045053453,1267
1045492337,1268
1045732099,1269
1046779001,1270
1048245598,1271
1048347093,1272
1048537869,1273
1049494811,1274
1051420949,1275
1051495735,1276
1052080208,1277
1055556720,1278
1057012409,1279
1057808227,1280
1059085151,1281
1061910814,1282
1062022970,1283
1062508891,1284
1062739895,1285
1063930890,1286
1064408037,1287
1064418516,1288
1065772502,1289
1065925868,1290
1066169078,1291
1066900568,1292
1067473966,1293
1068260339,1294
1068280680,1295
1068810615,1296
1069722286,1297
1069957595,1298
1070496962,1299
1071017377,1300
1072141297,1301
1072171116,1302
1072992798,1303
1073432785,1304
1074255192,1305
1074522727,1306
1074705929,1307
1075466051,1308
1076065590,1309
1077378591,1310
1077732504,1311
1078805081,1312
1079275442,1313
1079506855,1314
1079512668,1315
1079643461,1316
1079907232,1317
1080726757,1318
1080993528,1319
1081741176,1320
1082612585,1321
1083397326,1322
1084123524,1323
1084509168,1324
1084639254,1325
1084835174,1326
1087986119,1327
1088027409,1328
1089770687,1329
1090362419,1330
1091018143,1331
1091092483,1332
1093838590,1333
1094712884,1334
1095690541,1335
1096315499,1336
1096351880,1337
1100851103,1338
1101644861,1339
1102357345,1340
1102977052,1341
1103359244,1342
1103569344,1343
1103661198,1344
1104465112,1345
1106926858,1346
1108038486,1347
1108389519,1348
1108391542,1349
1110992534,1350
1111314979,1351
1112330345,1352
1112396293,1353
1114110608,1354
1115804756,1355
1116344160,1356
1116400973,1357
1117027958,1358
1117922485,1359
1118010138,1360
1119417227,1361
1120946830,1362
1122177236,1363
1122556602,1364
1123474146,1365
1123636067,1366
1123870333,1367
1125058187,1368
1126638612,1369
1126754899,1370
1126990946,1371
1129128788,1372
1129358168,1373
1129749032,1374
1129767113,1375
1129812857,1376
1130164612,1377
1133696005,1378
1133911240,1379
1134186681,1380
1134366227,1381
1135190046,1382
1136291767,1383
1138086952,1384
9079207123,1385
1040136255,1386
1040260424,1387
1040498248,1388
1041003023,1389
1041197808,1390
1041460885,1391
1041479949,1392
1041721789,1393
1041759006,1394
1041771397,1395
1042112512,1396
1042337215,1397
1042378292,1398
1042543670,1399
1042565431,1400
1042595600,1401
1042722953,1402
1042868020,1403
1043079599,1404
1043210260,1405
1043259147,1406
1043946767,1407
1044351696,1408
1044879937,1409
1044949297,1410
1044991645,1411
1045261101,1412
1045299331,1413
1045644461,1414
1045692371,1415
1045858242,1416
1046317907,1417
1046410167,1418
1046606653,1419
1046987680,1420
1047007768,1421
1047144861,1422
1047382201,1423
1047507370,1424
1047549806,1425
1047845167,1426
1047857832,1427
1047887565,1428
1047990289,1429
1048095025,1430
1048111631,1431
1048229006,1432
1048252847,1433
1048367688,1434
1048410997,1435
1048496201,1436
1048525272,1437
1048791940,1438
1049150715,1439
1049237281,1440
1049275783,1441
1049337936,1442
1049426435,1443
1050103129,1444
1050123067,1445
1050358290,1446
1050587799,1447
1050654786,1448
1050831047,1449
1050877119,1450
1051110940,1451
1051455082,1452
1051678877,1453
1051919495,1454
1052159616,1455
1052228754,1456
1052293673,1457
1052717595,1458
1052885063,1459
1052952539,1460
1053082799,1461
1053303660,1462
1053833587,1463
1053932931,1464
1054250570,1465
1054304349,1466
1054390795,1467
1054803249,1468
1054835051,1469
1054961837,1470
1055336021,1471
1055655330,1472
1055684677,1473
1055883926,1474
1055913684,1475
1055914692,1476
1055925452,1477
1055928986,1478
1056181992,1479
1056261350,1480
1056341217,1481
1056887731,1482
1056925517,1483
1056962096,1484
1057121332,1485
1057336883,1486
1057433014,1487
1057466712,1488
1057534855,1489
1057592348,1490
1057656488,1491
1057724200,1492
1057958941,1493
1058327694,1494
1058624464,1495
1058715675,1496
1058740523,1497
1059144599,1498
1059283531,1499
1059496847,1500
1059509109,1501
1059819693,1502
1060189295,1503
1060266471,1504
1060309553,1505
1060369403,1506
1060608566,1507
1061060705,1508
1061120481,1509
1061281384,1510
1061353473,1511
1061543960,1512
1061563097,1513
1061641981,1514
1061666754,1515
1061935457,1516
1062103762,1517
1062273789,1518
1062527878,1519
1062746052,1520
1062802508,1521
1062823767,1522
1063710933,1523
1063898634,1524
1064239119,1525
1064529325,1526
1064702615,1527
1064908210,1528
1065800521,1529
1065910411,1530
1065922776,1531
1066059263,1532
1066279081,1533
1066372108,1534
1066440009,1535
1066590312,1536
1066590782,1537
1066679658,1538
1066879095,1539
1066993622,1540
1067012926,1541
1067036973,1542
1067534831,1543
1067921913,1544
1067922321,1545
1067973901,1546
1068123151,1547
1068259724,1548
1068385763,1549
1068407057,1550
1068609680,1551
1068858398,1552
1068998751,1553
1069076156,1554
1069255430,1555
1069285299,1556
1069529874,1557
1069579524,1558
1069738548,1559
1070012144,1560
1070242216,1561
1070425850,1562
1070444585,1563
1070601044,1564
1070711059,1565
1070774896,1566
1070942806,1567
1071095497,1568
1071144028,1569
1071248747,1570
1071544957,1571
1071547541,1572
1071770753,1573
1071953710,1574
1072211079,1575
1072518425,1576
1072572675,1577
1072674557,1578
1072684003,1579
1072914462,1580
1073045193,1581
1073313433,1582
1073364006,1583
1073447929,1584
1073582349,1585
1073597601,1586
1073648596,1587
1074757498,1588
1074787305,1589
1074799814,1590
1075117964,1591
1075482134,1592
1075714835,1593
1075974360,1594
1076263116,1595
1076405645,1596
1076445935,1597
1076602836,1598
1076831250,1599
1077052299,1600
1077076219,1601
1077122978,1602
1077209507,1603
1077222402,1604
1077983969,1605
1078127920,1606
1078530492,1607
1078638437,1608
1078666219,1609
1078787062,1610
1078884177,1611
1078943563,1612
1079213063,1613
1079275739,1614
1079324306,1615
1079378677,1616
1079459188,1617
1079512846,1618
1079739373,1619
1079759390,1620
1080052788,1621
1080230877,1622
1080239384,1623
1080286065,1624
1080449480,1625
1080746083,1626
1080793137,1627
1080819621,1628
1080920285,1629
1080975018,1630
1081019729,1631
1081315881,1632
1081410441,1633
1081535895,1634
1081950847,1635
1082135610,1636
1082298376,1637
1082518980,1638
1082730412,1639
1083151613,1640
1083179850,1641
1083472806,1642
1083680296,1643
1083809197,1644
1083846925,1645
1083968064,1646
1084002664,1647
1084152138,1648
1084194645,1649
1084291735,1650
1084861154,1651
1084970543,1652
1084982296,1653
1085009474,1654
1085331007,1655
1085394027,1656
1085413287,1657
1085432252,1658
1085500044,1659
1085542462,1660
1085565916,1661
1085605915,1662
1085728835,1663
1085769404,1664
1085884782,1665
1085984828,1666
1085995868,1667
1086185147,1668
1086221132,1669
1086397324,1670
1086555538,1671
1086571573,1672
1086574183,1673
1086849696,1674
1086861885,1675
1086974529,1676
1087145781,1677
1087196417,1678
1087201463,1679
1087367659,1680
1087371155,1681
1087611854,1682
1087642655,1683
1087827744,1684
1088012928,1685
1088053828,1686
1088134185,1687
1088153898,1688
1088270306,1689
1088290072,1690
1088427051,1691
1088430505,1692
1088557198,1693
1088659636,1694
1088672131,1695
1088908738,1696
1088942180,1697
1089242467,1698
1089413625,1699
1089533413,1700
1089579491,1701
1089820805,1702
1089848017,1703
1089904823,1704
1089999602,1705
1090081044,1706
1090092289,1707
1090203487,1708
1090209748,1709
