galtileid,twinkles_system
1890392355,0
1894528332,1
2581151729,2
2582033153,3
2568941434,4
2577934627,5
2582070029,6
2575591054,7
2579928083,8
2568428027,9
2579173754,10
2575572017,11
2581196001,12
2565027719,13
2582007048,14
2576787989,15
2576743497,16
2568419226,17
2568484236,18
2577382414,19
2576190784,20
2575584576,21
2570367127,22
2575030810,23
1889262703,24
2577436856,25
1893073387,26
2580530412,27
2576737190,28
2576735426,29
2578597687,30
1889258871,31
2577367924,32
2575613022,33
2578605013,34
2576141843,35
2579186955,36
2578577072,37
2576763717,38
2578578653,39
2578593575,40
2579966888,41
1888682062,42
2577414827,43
1889298493,44
2577914206,45
2577372947,46
2575070939,47
2579191479,48
2582066722,49
2577953220,50
2576768912,51
2576774325,52
1894515077,53
2582066005,54
1880210502,55
2575620351,56
2570929804,57
2581158267,58
2566936305,59
2581190378,60
2575066621,61
2579136480,62
1891709633,63
2579155831,64
2576748773,65
1891120519,66
2570961315,67
1889276538,68
2578639917,69
2575063873,70
2568960310,71
1880179547,72
2582058147,73
2577392985,74
2577932931,75
2566506390,76
2570918447,77
2566476152,78
2570959574,79
2577392185,80
2580507372,81
2575041272,82
2579144475,83
1893034756,84
2568472489,85
2577365689,86
2569412464,87
2577384226,88
2578645003,89
2579145515,90
2579224240,91
2580504806,92
2576123023,93
1893709015,94
2576170483,95
2570288894,96
2582006958,97
2577439052,98
2575606932,99
2582042303,100
2575065378,101
1894523696,102
2582017221,103
2582015131,104
2577400960,105
2576154109,106
1891704865,107
2579192654,108
2568965738,109
2577422832,110
1893725455,111
2576798125,112
2581164440,113
1892449286,114
2582038734,115
2575567041,116
2582020998,117
2567650624,118
2578611393,119
2582067140,120
2576805788,121
1881465003,122
2575054790,123
1889238464,124
2570922110,125
2577909203,126
1894504345,127
2570928993,128
2580565575,129
2575592979,130
2580498815,131
2577394015,132
2575018178,133
2575603829,134
2575549775,135
2568089770,136
2580549294,137
2577408898,138
2577367366,139
1888622666,140
2578626040,141
2568957711,142
2577922380,143
2577890352,144
2568467410,145
2570907649,146
2575621783,147
2577937120,148
2582057584,149
1891711742,150
2578595548,151
2575582344,152
2576138453,153
2575605155,154
1888684845,155
2578631127,156
2567248674,157
2578640545,158
2579166748,159
2576179182,160
2576139842,161
2576744113,162
2576132363,163
2575043768,164
2582050643,165
1877514379,166
2575015306,167
2582025062,168
