,prefix,uniqueId,raPhoSim,decPhoSim,phosimMagNorm,sedFilepath,redshift,shear1,shear2,kappa,raOffset,decOffset,spatialmodel,majorAxis,minorAxis,positionAngle,sindex,internalExtinctionModel,internalAv,internalRv,galacticExtinctionModel,galacticAv,galacticRv,galaxy_id,twinkles_system,image_number,uniqueId_lens,raPhoSim_lens,decPhoSim_lens
0,object,179840022348185697,53.13155576221105,-28.599572427452465,21.0595988,galaxySED/Exp.62E09.04Z.spec.gz,0.09004473689999999,2.1045001699999997e-05,0.0018505964399999997,-0.000145901323,0,0,sersic2d,0.91286248,0.89931941,4.67451065,4,CCM,0.1,4.000000000000002,CCM,0.0292675603,3.1,2562502182,1100,0,2624002234465,53.13120394506008,-28.599569698137003
1,object,179840022348186721,53.13117039765011,-28.599569511940434,21.0595988,galaxySED/Exp.62E09.04Z.spec.gz,0.09004473689999999,2.1045001699999997e-05,0.0018505964399999997,-0.000145901323,0,0,sersic2d,0.91286248,0.89931941,4.67451065,4,CCM,0.1,4.000000000000002,CCM,0.0292675603,3.1,2562502182,1100,1,2624002234465,53.13120394506008,-28.599569698137003
2,object,179840029075869793,53.605522140672,-28.38749391017792,25.7432503,galaxySED/Burst.62E09.002Z.spec.gz,0.0955643103,0.000686200865,0.000152473829,-0.00017001315200000002,0,0,sersic2d,0.198673785,0.195892543,65.7468427,4,CCM,0.1,4.000000000000002,CCM,0.0279946329,3.1,2562502839,1101,0,2624002907233,53.60576264687625,-28.3874968665345
3,object,179840029075870817,53.605906705429106,-28.387497321102952,25.7432503,galaxySED/Burst.62E09.002Z.spec.gz,0.0955643103,0.000686200865,0.000152473829,-0.00017001315200000002,0,0,sersic2d,0.198673785,0.195892543,65.7468427,4,CCM,0.1,4.000000000000002,CCM,0.0279946329,3.1,2562502839,1101,1,2624002907233,53.60576264687625,-28.3874968665345
4,object,179840093598113889,53.231066165924254,-28.45771027607475,25.455733,galaxySED/Inst.50E09.02Z.spec.gz,0.153528214,0.000830432206,0.001564616,-0.000517664555,0,0,sersic2d,0.41162833600000004,0.348936796,131.634167,4,CCM,0.2,4.000000000000002,CCM,0.025145915699999997,3.1,2562509140,1102,0,2624009359457,53.23133123621438,-28.45770907391244
5,object,179840093598114913,53.23135900241798,-28.457709387694145,25.455733,galaxySED/Inst.50E09.02Z.spec.gz,0.153528214,0.000830432206,0.001564616,-0.000517664555,0,0,sersic2d,0.41162833600000004,0.348936796,131.634167,4,CCM,0.2,4.000000000000002,CCM,0.025145915699999997,3.1,2562509140,1102,1,2624009359457,53.23133123621438,-28.45770907391244
6,object,179840387619237985,53.53002651288943,-27.875460272172386,28.0479293,galaxySED/Inst.62E09.002Z.spec.gz,0.19293927600000002,0.00133558973,0.0011637029300000002,0.000360520653,0,0,sersic2d,0.0345455781,0.034377113,167.461682,4,CCM,0.0,2.0,CCM,0.0221968611,3.1,2562537853,1103,0,2624038761569,53.5295404682616,-27.87546028862369
7,object,179840387619239009,53.529453625470126,-27.875459715589418,28.0479293,galaxySED/Inst.62E09.002Z.spec.gz,0.19293927600000002,0.00133558973,0.0011637029300000002,0.000360520653,0,0,sersic2d,0.0345455781,0.034377113,167.461682,4,CCM,0.0,2.0,CCM,0.0221968611,3.1,2562537853,1103,1,2624038761569,53.5295404682616,-27.87546028862369
8,object,179840425118122081,52.88963444175978,-28.597128499931983,26.5469721,galaxySED/Burst.40E09.02Z.spec.gz,0.239095807,-0.000716486535,0.00171591392,-0.00136885674,0,0,sersic2d,0.0338360406,0.0326273516,100.527672,4,CCM,0.0,2.0,CCM,0.027545150299999998,3.1,2562541515,1104,0,2624042511457,52.88904428135999,-28.597134465315673
9,object,179840425118123105,52.88902929695623,-28.597134746292156,26.5469721,galaxySED/Burst.40E09.02Z.spec.gz,0.239095807,-0.000716486535,0.00171591392,-0.00136885674,0,0,sersic2d,0.0338360406,0.0326273516,100.527672,4,CCM,0.0,2.0,CCM,0.027545150299999998,3.1,2562541515,1104,1,2624042511457,52.88904428135999,-28.597134465315673
10,object,179840518957486177,53.24727756085198,-28.103704821433226,26.622335200000002,galaxySED/Burst.10E10.04Z.spec.gz,0.223227199,0.00102270185,-6.6085065599999996e-06,-0.0006076488300000001,0,0,sersic2d,0.0826945826,0.0826205611,31.134765100000003,4,CCM,0.0,2.0,CCM,0.0216406002,3.1,2562550679,1105,0,2624051895393,53.24762975436808,-28.10370090349327
11,object,179840518957487201,53.24764386192878,-28.10370080443786,26.622335200000002,galaxySED/Burst.10E10.04Z.spec.gz,0.223227199,0.00102270185,-6.6085065599999996e-06,-0.0006076488300000001,0,0,sersic2d,0.0826945826,0.0826205611,31.134765100000003,4,CCM,0.0,2.0,CCM,0.0216406002,3.1,2562550679,1105,1,2624051895393,53.24762975436808,-28.10370090349327
12,object,179840682623410273,53.74458801260352,-28.27059536115343,26.2450501,galaxySED/Inst.20E09.002Z.spec.gz,0.245916217,-0.000219357522,0.00245798783,0.0015932428899999998,0,0,sersic2d,0.0540734939,0.0532575212,53.3725001,4,CCM,0.0,2.0,CCM,0.026791075499999997,3.1,2562566662,1106,0,2624068261985,53.74456998685115,-28.270594319496443
13,object,179840682623411297,53.74456889928349,-28.270593744967663,26.2450501,galaxySED/Inst.20E09.002Z.spec.gz,0.245916217,-0.000219357522,0.00245798783,0.0015932428899999998,0,0,sersic2d,0.0540734939,0.0532575212,53.3725001,4,CCM,0.0,2.0,CCM,0.026791075499999997,3.1,2562566662,1106,1,2624068261985,53.74456998685115,-28.270594319496443
14,object,179840705601974369,52.58705460035814,-28.25295164031744,27.889642300000002,galaxySED/Inst.50E09.002Z.spec.gz,0.244403361,-0.000953707637,0.00158217011,-0.00196277611,0,0,sersic2d,0.0377481505,0.0377023704,31.869417,4,CCM,0.0,2.0,CCM,0.0230123277,3.1,2562568906,1107,0,2624070559841,52.587123784731425,-28.25294733943731
15,object,179840705601975393,52.587104355771146,-28.25294581194735,27.889642300000002,galaxySED/Inst.50E09.002Z.spec.gz,0.244403361,-0.000953707637,0.00158217011,-0.00196277611,0,0,sersic2d,0.0377481505,0.0377023704,31.869417,4,CCM,0.0,2.0,CCM,0.0230123277,3.1,2562568906,1107,1,2624070559841,52.587123784731425,-28.25294733943731
16,object,179840866748858465,53.25776588020582,-27.668048491499782,24.535892699999998,galaxySED/Burst.50E09.002Z.spec.gz,0.290994287,0.0101353782,0.0032618040700000002,0.00825835647,0,0,sersic2d,0.0845481083,0.08307015150000001,147.157378,4,CCM,0.0,2.0,CCM,0.0232842964,3.1,2562584643,1108,0,2624086674529,53.25784371093462,-27.668046488957238
17,object,179840866748859489,53.25784825088075,-27.668046230674054,24.535892699999998,galaxySED/Burst.50E09.002Z.spec.gz,0.290994287,0.0101353782,0.0032618040700000002,0.00825835647,0,0,sersic2d,0.0845481083,0.08307015150000001,147.157378,4,CCM,0.0,2.0,CCM,0.0232842964,3.1,2562584643,1108,1,2624086674529,53.25784371093462,-27.668046488957238
18,object,179840920539582561,53.16870876220064,-27.68088299577031,27.872316899999998,galaxySED/Inst.40E09.02Z.spec.gz,0.29802614,-0.0046335538200000005,0.0028980639500000003,0.00180874288,0,0,sersic2d,0.08290217820000001,0.0731549412,91.3366072,4,CCM,0.0,2.0,CCM,0.0281641001,3.1,2562589896,1109,0,2624092053601,53.16956298616356,-27.68087813309948
19,object,179840920539583585,53.16964246515479,-27.680877395979604,27.872316899999998,galaxySED/Inst.40E09.02Z.spec.gz,0.29802614,-0.0046335538200000005,0.0028980639500000003,0.00180874288,0,0,sersic2d,0.08290217820000001,0.0731549412,91.3366072,4,CCM,0.0,2.0,CCM,0.0281641001,3.1,2562589896,1109,1,2624092053601,53.16956298616356,-27.68087813309948
20,object,179840972077506657,53.564964673703926,-27.91551499055588,26.376399300000003,galaxySED/Burst.62E09.002Z.spec.gz,0.27989197600000004,4.75133612e-05,0.00149719207,0.009109615940000001,0,0,sersic2d,0.0769562051,0.06880337,107.48725,4,CCM,0.1,3.7000000000000015,CCM,0.023501488799999998,3.1,2562594929,1110,0,2624097207393,53.564822116658135,-27.915515320445234
21,object,179840972077507681,53.56480375083418,-27.915515550233245,26.376399300000003,galaxySED/Burst.62E09.002Z.spec.gz,0.27989197600000004,4.75133612e-05,0.00149719207,0.009109615940000001,0,0,sersic2d,0.0769562051,0.06880337,107.48725,4,CCM,0.1,3.7000000000000015,CCM,0.023501488799999998,3.1,2562594929,1110,1,2624097207393,53.564822116658135,-27.915515320445234
22,object,179841006320070753,53.60833103082163,-27.89254252212884,26.8765696,galaxySED/Burst.25E09.0005Z.spec.gz,0.28836427600000003,-0.000916204909,-0.00246632254,-0.0016038324800000002,0,0,sersic2d,0.050652179900000004,0.049631759500000004,76.9860855,4,CCM,0.1,3.200000000000001,CCM,0.025627163199999997,3.1,2562598273,1111,0,2624100631649,53.60790995371767,-27.89253769197324
23,object,179841006320071777,53.60842453134474,-27.89253338871117,26.8765696,galaxySED/Burst.25E09.0005Z.spec.gz,0.28836427600000003,-0.000916204909,-0.00246632254,-0.0016038324800000002,0,0,sersic2d,0.050652179900000004,0.049631759500000004,76.9860855,4,CCM,0.1,3.200000000000001,CCM,0.025627163199999997,3.1,2562598273,1111,1,2624100631649,53.60790995371767,-27.89253769197324
24,object,179841006320072801,53.60844586622605,-27.892539135189807,26.8765696,galaxySED/Burst.25E09.0005Z.spec.gz,0.28836427600000003,-0.000916204909,-0.00246632254,-0.0016038324800000002,0,0,sersic2d,0.050652179900000004,0.049631759500000004,76.9860855,4,CCM,0.1,3.200000000000001,CCM,0.025627163199999997,3.1,2562598273,1111,2,2624100631649,53.60790995371767,-27.89253769197324
25,object,179841006320073825,53.6077794747462,-27.892537479360794,26.8765696,galaxySED/Burst.25E09.0005Z.spec.gz,0.28836427600000003,-0.000916204909,-0.00246632254,-0.0016038324800000002,0,0,sersic2d,0.050652179900000004,0.049631759500000004,76.9860855,4,CCM,0.1,3.200000000000001,CCM,0.025627163199999997,3.1,2562598273,1111,3,2624100631649,53.60790995371767,-27.89253769197324
26,object,179841029134794849,53.673431243822186,-27.814233810706654,26.757806,galaxySED/Exp.10E10.0005Z.spec.gz,0.297610097,0.000257926747,-0.00100729957,0.0008551180099999999,0,0,sersic2d,0.17103178800000002,0.157541737,178.330448,4,CCM,0.0,2.0,CCM,0.0284353373,3.1,2562600501,1112,0,2624102913121,53.673603629552716,-27.81423371312004
27,object,179841029134795873,53.673829353424836,-27.81423375596398,26.757806,galaxySED/Exp.10E10.0005Z.spec.gz,0.297610097,0.000257926747,-0.00100729957,0.0008551180099999999,0,0,sersic2d,0.17103178800000002,0.157541737,178.330448,4,CCM,0.0,2.0,CCM,0.0284353373,3.1,2562600501,1112,1,2624102913121,53.673603629552716,-27.81423371312004
28,object,179841029134796897,53.67367476877722,-27.81423006609708,26.757806,galaxySED/Exp.10E10.0005Z.spec.gz,0.297610097,0.000257926747,-0.00100729957,0.0008551180099999999,0,0,sersic2d,0.17103178800000002,0.157541737,178.330448,4,CCM,0.0,2.0,CCM,0.0284353373,3.1,2562600501,1112,2,2624102913121,53.673603629552716,-27.81423371312004
29,object,179841029134797921,53.67372101986356,-27.81423720601297,26.757806,galaxySED/Exp.10E10.0005Z.spec.gz,0.297610097,0.000257926747,-0.00100729957,0.0008551180099999999,0,0,sersic2d,0.17103178800000002,0.157541737,178.330448,4,CCM,0.0,2.0,CCM,0.0284353373,3.1,2562600501,1112,3,2624102913121,53.673603629552716,-27.81423371312004
30,object,179841059680718945,53.11993171750881,-28.51132643236354,27.384893199999997,galaxySED/Inst.80E09.02Z.spec.gz,0.272242624,-0.000646111211,0.0018822004899999999,-0.00121767331,0,0,sersic2d,0.122328416,0.121467344,176.11476399999998,4,CCM,0.0,2.0,CCM,0.025328642599999996,3.1,2562603484,1113,0,2624105967713,53.11997758969945,-28.511328902725328
31,object,179841059680719969,53.12019240534386,-28.51133182816301,27.384893199999997,galaxySED/Inst.80E09.02Z.spec.gz,0.272242624,-0.000646111211,0.0018822004899999999,-0.00121767331,0,0,sersic2d,0.122328416,0.121467344,176.11476399999998,4,CCM,0.0,2.0,CCM,0.025328642599999996,3.1,2562603484,1113,1,2624105967713,53.11997758969945,-28.511328902725328
32,object,179841133398483041,53.72852182451203,-28.122724684442233,26.7464072,galaxySED/Inst.40E09.002Z.spec.gz,0.279899562,0.000666524363,0.000597514013,0.00495625963,0,0,sersic2d,0.041368458399999995,0.0408874229,160.972224,4,CCM,0.1,2.5000000000000004,CCM,0.0278218021,3.1,2562610683,1114,0,2624113339489,53.7277892688524,-28.12272489815546
33,object,179841133398484065,53.72763303804618,-28.122723765264332,26.7464072,galaxySED/Inst.40E09.002Z.spec.gz,0.279899562,0.000666524363,0.000597514013,0.00495625963,0,0,sersic2d,0.041368458399999995,0.0408874229,160.972224,4,CCM,0.1,2.5000000000000004,CCM,0.0278218021,3.1,2562610683,1114,1,2624113339489,53.7277892688524,-28.12272489815546
34,object,179841177962967137,52.88747761943544,-28.031364538786413,25.192565600000002,galaxySED/Burst.62E09.04Z.spec.gz,0.314063191,-0.0010998099400000001,0.00204060445,-0.00220039242,0,0,sersic2d,0.134324327,0.120672114,107.94666299999999,4,CCM,0.1,3.8000000000000016,CCM,0.0255823306,3.1,2562615035,1115,0,2624117795937,52.887051828392494,-28.031358963438848
35,object,179841177962968161,52.88697285979143,-28.031357580260003,25.192565600000002,galaxySED/Burst.62E09.04Z.spec.gz,0.314063191,-0.0010998099400000001,0.00204060445,-0.00220039242,0,0,sersic2d,0.134324327,0.120672114,107.94666299999999,4,CCM,0.1,3.8000000000000016,CCM,0.0255823306,3.1,2562615035,1115,1,2624117795937,52.887051828392494,-28.031358963438848
36,object,179841195053531233,53.39202070470457,-27.683064623999872,22.0961392,galaxySED/Inst.62E09.02Z.spec.gz,0.329659343,-0.0008621970320000001,2.80436964e-05,-0.00208339754,0,0,sersic2d,0.370747179,0.262555122,47.0198325,4,CCM,0.30000000000000004,4.000000000000002,CCM,0.021029637099999998,3.1,2562616704,1116,0,2624119504993,53.39185596270463,-27.683071849174574
37,object,179841195053532257,53.39184271192736,-27.683072288389997,22.0961392,galaxySED/Inst.62E09.02Z.spec.gz,0.329659343,-0.0008621970320000001,2.80436964e-05,-0.00208339754,0,0,sersic2d,0.370747179,0.262555122,47.0198325,4,CCM,0.30000000000000004,4.000000000000002,CCM,0.021029637099999998,3.1,2562616704,1116,1,2624119504993,53.39185596270463,-27.683071849174574
38,object,179841414056415329,53.46065878755844,-28.587057332148408,27.2796915,galaxySED/Burst.10E10.02Z.spec.gz,0.327373663,-0.00481216741,0.013072423400000002,0.008227768509999999,0,0,sersic2d,0.0523389094,0.051235020199999995,98.10360909999999,4,CCM,0.0,2.0,CCM,0.022165874199999998,3.1,2562638091,1117,0,2624141405281,53.46037142578002,-28.58705810871424
39,object,179841414056416353,53.460354613528374,-28.58705828743301,27.2796915,galaxySED/Burst.10E10.02Z.spec.gz,0.327373663,-0.00481216741,0.013072423400000002,0.008227768509999999,0,0,sersic2d,0.0523389094,0.051235020199999995,98.10360909999999,4,CCM,0.0,2.0,CCM,0.022165874199999998,3.1,2562638091,1117,1,2624141405281,53.46037142578002,-28.58705810871424
40,object,179841453685219425,53.280738875324666,-27.89100978336834,28.717369,galaxySED/Exp.10E10.002Z.spec.gz,0.328877776,-0.0013166703400000002,0.000554080576,-0.00019537983199999998,0,0,sersic2d,0.036080759,0.0341778062,85.8388523,4,CCM,0.0,2.0,CCM,0.0211848996,3.1,2562641961,1118,0,2624145368161,53.280584448316574,-27.89100955432334
41,object,179841453685220449,53.28056831830134,-27.89100959699982,28.717369,galaxySED/Exp.10E10.002Z.spec.gz,0.328877776,-0.0013166703400000002,0.000554080576,-0.00019537983199999998,0,0,sersic2d,0.036080759,0.0341778062,85.8388523,4,CCM,0.0,2.0,CCM,0.0211848996,3.1,2562641961,1118,1,2624145368161,53.280584448316574,-27.89100955432334
42,object,179841576278503521,53.13851025610525,-28.093684123834777,28.4877233,galaxySED/Exp.80E09.002Z.spec.gz,0.357243527,-0.00183962785,0.0017400964000000001,9.65424468e-05,0,0,sersic2d,0.036519669,0.0356997028,79.28147740000001,4,CCM,0.0,2.0,CCM,0.023033947599999997,3.1,2562653933,1119,0,2624157627489,53.138816645616686,-28.093686720802804
43,object,179841576278504545,53.13887763563512,-28.093687001067853,28.4877233,galaxySED/Exp.80E09.002Z.spec.gz,0.357243527,-0.00183962785,0.0017400964000000001,9.65424468e-05,0,0,sersic2d,0.036519669,0.0356997028,79.28147740000001,4,CCM,0.0,2.0,CCM,0.023033947599999997,3.1,2562653933,1119,1,2624157627489,53.138816645616686,-28.093686720802804
44,object,179841817389547617,53.631289654357346,-28.17146870613415,28.1359994,galaxySED/Inst.25E09.02Z.spec.gz,0.34261799600000004,0.0020387951899999996,0.000301052233,-0.00190625371,0,0,sersic2d,0.0632830486,0.0627929121,33.3599854,4,CCM,0.0,2.0,CCM,0.0253865098,3.1,2562677479,1120,0,2624181738593,53.63106039226182,-28.171463430293826
45,object,179841817389548641,53.63074332526214,-28.17146123870281,28.1359994,galaxySED/Inst.25E09.02Z.spec.gz,0.34261799600000004,0.0020387951899999996,0.000301052233,-0.00190625371,0,0,sersic2d,0.0632830486,0.0627929121,33.3599854,4,CCM,0.0,2.0,CCM,0.0253865098,3.1,2562677479,1120,1,2624181738593,53.63106039226182,-28.171463430293826
