t0,x,y,sigma,gamma,e,theta_e,theta_gamma,zs,zl,snx,sny,MB,mu,sysno,imno,mag,mb,x0,x1,c,twinkles_sysno,bulge_magnorm,r_eff,lens_sed,t_start
0.0,0.2675,-0.4957,171.981336621,0.0738286963584,0.31620960465,79.1602034585,134.088420053,0.734945395493,0.39901291919,0.10270285082000001,-0.149628458562,-19.534964165599998,2.1795,105,0,22.8072185524,23.6531107358,6.27562967356e-06,0.0,0.0,1000,20.65786459031192,0.5836818218231201,galaxySED/Exp.80E09.02Z.spec.gz,60352.338088137374
14.945,-0.125,0.1134,171.981336621,0.0738286963584,0.31620960465,79.1602034585,134.088420053,0.734945395493,0.39901291919,0.10270285082000001,-0.149628458562,-19.534964165599998,-0.9887,105,1,23.6654494004,23.6531107358,6.27562967356e-06,0.0,0.0,1000,20.65786459031192,0.5836818218231201,galaxySED/Exp.80E09.02Z.spec.gz,60367.283088137374
0.0,-0.2566,-0.4932,165.882504786,0.060947961457,0.556837491431,223.996858203,85.4951954118,0.5701285531229999,0.304755327059,-0.06371344747600001,-0.163734711897,-19.570531953499998,1.6892,126,0,22.1118926441,22.681095325900003,1.53625557451e-05,0.0,0.0,1001,19.98132503432163,0.7742990851402283,galaxySED/Exp.62E09.1Z.spec.gz,60388.51131687129
11.046,-0.0276,0.1673,165.882504786,0.060947961457,0.556837491431,223.996858203,85.4951954118,0.5701285531229999,0.304755327059,-0.06371344747600001,-0.163734711897,-19.570531953499998,-1.1577,126,1,22.5221052427,22.681095325900003,1.53625557451e-05,0.0,0.0,1001,19.98132503432163,0.7742990851402283,galaxySED/Exp.62E09.1Z.spec.gz,60399.557316871294
0.0,0.3682,0.4532,225.89443876400003,0.0643661888334,0.40709395868000003,260.54232842700003,31.715261585,0.826762735485,0.571931272829,0.12465267327299999,0.109589052314,-19.6022537283,2.0976,187,0,23.2994009631,24.103707649,4.14398851008e-06,0.0,0.0,1002,20.14138103709051,0.6437512040138245,galaxySED/Exp.50E09.1Z.spec.gz,59983.15955625397
33.1,-0.2047,-0.0689,225.89443876400003,0.0643661888334,0.40709395868000003,260.54232842700003,31.715261585,0.826762735485,0.571931272829,0.12465267327299999,0.109589052314,-19.6022537283,-1.2195,187,1,23.8882531373,24.103707649,4.14398851008e-06,0.0,0.0,1002,20.14138103709051,0.6437512040138245,galaxySED/Exp.50E09.1Z.spec.gz,60016.25955625397
0.0,0.4561,-1.381,341.766772307,0.0839581684935,0.09332320455080001,103.06017836,89.9969222608,0.794853241522,0.503016591806,0.162632230802,-0.241030024529,-19.1691929924,2.8971,218,0,23.236693581500003,24.3916022968,3.17878154855e-06,0.0,0.0,1003,18.462216523105972,3.147315263748169,galaxySED/Exp.62E09.04Z.spec.gz,60419.990722035065
118.90700000000001,-0.6168,0.4604,341.766772307,0.0839581684935,0.09332320455080001,103.06017836,89.9969222608,0.794853241522,0.503016591806,0.162632230802,-0.241030024529,-19.1691929924,-2.4831,218,1,23.404116772,24.3916022968,3.17878154855e-06,0.0,0.0,1003,18.462216523105972,3.147315263748169,galaxySED/Exp.62E09.04Z.spec.gz,60538.897722035064
0.0,0.6177,-0.262,181.142453921,0.06573529886730001,0.13292559358300002,19.3807852121,340.220989529,0.554654273615,0.29740549123599996,0.196978676013,-0.10945006340800001,-19.353446175,2.2661,280,0,21.937434650900002,22.8256323279,1.34477204057e-05,0.0,0.0,1004,19.213286102995824,0.9678917527198792,galaxySED/Exp.80E09.1Z.spec.gz,60025.59393009606
15.622,-0.1513,0.1072,181.142453921,0.06573529886730001,0.13292559358300002,19.3807852121,340.220989529,0.554654273615,0.29740549123599996,0.196978676013,-0.10945006340800001,-19.353446175,-0.9153,280,1,22.921723672,22.8256323279,1.34477204057e-05,0.0,0.0,1004,19.213286102995824,0.9678917527198792,galaxySED/Exp.80E09.1Z.spec.gz,60041.21593009606
