galtileid,twinkles_system
7608,128
8537,31
9751,74
15898,128
16275,128
17141,128
17236,113
17292,31
17482,128
17548,176
19524,128
19607,91
19644,128
20036,91
42482,31
805136,128
805147,155
805200,155
806363,128
806378,289
806386,91
806389,128
813265,155
821683,128
822406,128
822852,31
823586,128
823596,128
823673,128
823710,91
2050226,283
2050239,283
2059041,283
2059104,155
2077371,289
2077538,155
2080334,268
2080432,336
2148501,128
2151329,106
2151356,176
2152438,128
2152445,128
2169967,252
2171748,155
2428652,128
2454302,128
2454409,128
2454418,128
2455296,128
2456468,128
2456578,128
2456600,24
2456625,128
2459144,128
2459184,91
2464105,128
2464363,128
2465707,128
2468653,128
2469034,128
2577145,87
2582537,176
2582958,74
2583019,289
2598002,176
2598280,176
2600517,74
2605408,176
2609357,176
2736784,128
2737080,128
2737596,176
2737769,128
2737852,128
2802968,31
2803022,91
2900207,128
2908201,155
2909569,128
2913451,128
4012077,128
4012417,128
4012484,128
4032378,128
4032785,128
4032786,128
4033424,128
4034009,128
4034319,128
4037788,91
4037845,31
4037929,128
4037971,31
4038039,31
4038320,128
4049903,128
4050148,128
4051044,128
4053533,31
4123680,128
4123928,128
4124055,128
4125618,31
4130359,155
4130467,91
4130612,31
4130638,74
4133128,155
4133239,31
4133283,128
4134841,31
4294429,128
4294566,128
4297074,128
4298928,155
4299015,128
4299349,31
4365659,73
4366011,73
4366184,73
4368223,336
5083949,155
5188260,73
5188392,94
5188395,92
5188472,73
5188518,155
5353965,128
5718237,55
5727962,24
5781421,128
5781531,128
5782414,128
5783950,128
5784029,128
5784249,128
5784319,106
5784326,128
5784348,31
5784482,91
5784515,91
5784890,31
5788136,31
5788149,31
5788175,128
5788295,106
5788327,128
5788365,31
5791083,128
5808990,128
5809740,91
5949903,31
5950176,128
5966865,128
5972656,74
5981950,128
6058743,128
6068988,128
6070274,128
6070373,176
6070506,128
6070510,128
6070594,128
6070744,128
6070935,128
6072469,31
6072522,128
6084430,128
6091884,128
6092114,44
6095988,155
6096164,289
6097613,283
6099847,176
6105024,268
6106459,176
6116069,155
6116171,289
6116353,283
6116486,283
6311824,155
6312097,176
6312302,73
6313760,283
6320229,268
6326040,155
6333069,73
6334677,39
6416551,155
6416769,268
6417505,283
6417642,283
6421116,268
6421166,283
6422390,268
6422395,289
6423787,155
6428610,176
6428637,283
6433781,176
6433912,155
6433986,176
6438282,155
6451914,73
6452387,304
6880835,128
6883146,128
6883673,31
6883725,91
6884399,106
6884457,128
6890437,74
6890712,74
6891114,128
6892320,31
6892347,128
6892348,31
6903257,128
6904612,128
6905621,31
6906434,176
6908024,128
6909264,128
6914086,31
6916001,128
6916678,176
6917412,128
7099583,128
7099628,128
7099664,128
7100010,128
7100194,31
7161888,169
7613778,128
7618543,128
7619034,128
7619074,128
7619791,128
7690733,169
7738672,128
7738702,128
7738868,128
7739845,31
7739853,128
7739912,128
7739936,31
7739983,106
7739992,55
7741002,128
7741036,128
7741343,128
7741799,128
7959264,155
7963972,304
7964680,73
7974117,73
8585638,31
8585724,128
8585725,176
9113868,128
9113885,128
9113932,128
9142156,176
9166942,353
9168676,73
9408828,336
9412003,155
9413981,155
9418000,283
9421068,336
9421370,289
9421384,268
9566115,176
9572285,176
9624730,176
9630316,31
9957590,128
9974016,128
9975237,128
9975266,128
9975632,128
9975761,124
9976064,128
9976345,31
9976529,128
9977023,128
9977097,128
9977841,31
9978701,128
9988873,128
9988908,128
9988911,128
9988925,128
9989069,128
9989154,128
9989349,128
9989615,128
9990347,128
9990446,128
9991499,128
9991838,128
9991864,128
9991868,31
9991911,24
9991955,128
10505133,128
10508119,128
10508128,128
10515007,74
10515149,128
10515157,91
10515195,128
10515418,128
10516640,128
10516713,31
11278332,128
11278367,124
11278416,128
11278580,24
11278931,128
11279147,128
11280057,128
11280404,128
11283631,128
11283725,31
11283805,74
11283806,91
11283844,128
11289219,128
11290031,128
11290093,128
11292257,31
11294165,128
11294723,91
11294889,24
11294998,31
11295449,128
11295615,106
11296223,128
11296312,128
11299974,128
11300176,128
11300294,128
11300387,128
11301100,128
11301182,128
11301583,106
11302067,128
11302471,128
11302493,128
11303118,128
11305130,128
11305771,128
11305776,31
11305872,128
11305951,31
11305996,128
11306519,128
11306583,128
11307254,55
11309982,128
11310477,24
11310496,31
11310639,31
11310773,24
11310946,91
11310972,74
11311775,128
11312171,128
11323562,128
11324716,176
11324749,106
11325423,128
11326139,128
11326140,106
11326141,31
11343132,128
11343998,31
11344276,128
11345132,128
11345337,128
11345383,128
11345407,128
11345413,289
11345415,128
11345681,31
11386654,268
11391622,176
11392199,289
11401038,155
11409010,176
11412746,353
11418826,73
11419067,478
11431413,73
11433909,322
11453004,24
11461783,24
11854288,92
11855889,99
11864710,0
11864905,268
11865420,423
11865440,73
11865510,133
11875730,73
11875947,73
11876124,73
11876139,423
11881794,73
11881803,169
11891802,92
11892384,92
11892524,283
11895015,353
11919224,106
11995762,155
12001118,176
12038971,128
12043953,31
12044028,31
12044119,91
12044266,128
12045090,128
12045111,91
12056510,128
12057535,128
12057780,128
12057798,176
12057977,128
12059329,128
12059398,106
12061595,128
12070484,31
12070498,128
12072467,31
12072482,155
12422532,128
12422786,128
12423394,128
12423398,31
12424599,128
12424605,31
12424731,289
12425261,128
12425458,128
12429079,128
12496678,31
12496696,128
12496774,91
12496924,128
12506401,31
12506647,252
12530309,73
12553599,24
12574043,55
12575454,55
12593093,24
12650541,128
12651861,155
12659830,128
12659984,155
12660045,31
12661678,87
12661693,128
12661748,128
12664562,128
12664575,240
12680805,128
12680813,128
12869509,268
12872947,268
12872949,155
12877787,176
12877976,283
12878066,268
12884812,128
12887063,128
12888078,128
12895019,128
12895095,128
12895242,31
12895257,128
12895287,128
12895314,128
12895691,128
12935827,31
12935856,91
12970868,73
13907721,128
13930084,128
13933622,128
14393182,128
14393349,91
14396683,128
14400092,128
14400109,128
14400782,128
14401677,128
14402275,128
14402345,31
14402355,24
14402364,128
14405471,106
14405576,113
14406597,128
14406959,128
14411832,128
14412203,128
14412765,106
14413342,31
14413734,128
14414969,128
14415038,55
14415059,31
14415092,128
14422460,128
14422688,128
14422783,128
14422975,128
14423430,128
14424271,128
14424302,128
14424550,113
14424636,128
14424849,106
14424877,91
14424985,128
14425091,128
14425644,128
14425750,31
14425983,128
14426623,128
14426659,176
14426671,31
14427791,128
14428541,128
14429137,31
14431883,128
14432554,176
14434758,128
14434938,128
14435190,128
14435576,128
14435738,74
14435759,128
14436315,128
14588003,289
14597337,176
14601970,113
14610001,283
14610738,176
14612801,176
14612838,155
14617954,155
14619409,322
14625690,268
14625790,99
14626244,92
14629009,423
14629478,353
14638779,94
14641624,304
14654946,73
14655178,73
14655289,283
14655828,304
14655869,155
14657780,169
14658666,0
14658687,94
14658758,203
14658775,94
14664494,92
14664499,304
14664935,155
14667043,0
14669096,94
14669318,39
14671462,169
14672498,0
14785987,128
14850492,55
14901304,128
14907670,128
14908232,128
14909930,31
14910414,128
14912257,128
14912837,31
14912866,128
14912868,31
14914272,128
