galaxyAgn_sn_t0,sn_t0
galaxyAgn_sn_truth_params,sn_truth_params
galaxyAgn_is_sprinkled,is_sprinkled
galaxyDisk_is_sprinkled,is_sprinkled
galaxyBulge_is_sprinkled,is_sprinkled
galaxyAgn_magNorm,agnMagNorm
galaxyAgn_redshift,redshift
galaxyAgn_varParamStr,varParamStr
pars,p
varMethodName,m
galtileid,galaxy_id
raJ2000,raJ2000
decJ2000,decJ2000
galaxyDisk_majorAxis,disk_descqa_majorAxis
galaxyDisk_minorAxis,disk_descqa_minorAxis
galaxyDisk_positionAngle,positionAngle
galaxyDisk_internalAv,diskInternalAv
galaxyDisk_magNorm,diskMagNorm
galaxyDisk_sedFilename,diskSedFilename
galaxyBulge_majorAxis,bulge_descqa_majorAxis
galaxyBulge_minorAxis,bulge_descqa_minorAxis
galaxyBulge_positionAngle,positionAngle
galaxyBulge_internalAv,bulgeInternalAv
galaxyBulge_magNorm,bulgeMagNorm
galaxyBulge_sedFilename,bulgeSedFilename
galaxyBulge_redshift,redshift
galaxyDisk_redshift,redshift
galaxyAgn_sedFilename,agnSedFilename

