galtileid,twinkles_system
10180,1528
10275,1279
10580,1898
11294,1458
11854,1727
13911,1398
14139,1192
14327,1040
14342,1839
14731,1970
17343,1748
18345,1261
799976,1697
801416,1038
801947,1242
803522,1728
806718,1600
807384,1365
807686,1800
812501,1256
812668,1233
813377,1393
815482,1349
815550,1621
815603,1093
818440,1081
819592,1205
821714,1749
822605,1049
822876,1657
823563,1539
823696,1439
824719,1385
889031,1423
889339,1280
1052066,1914
1053539,1099
1064044,1147
1744678,1701
1766942,1663
1772398,1012
1776366,1414
2032160,1408
2046449,1489
2047738,1451
2047971,1873
2048250,1754
2048985,1002
2049244,1098
2051124,1888
2051993,1579
2053375,1723
2053655,1464
2054352,1174
2054513,1590
2054937,1396
2055325,1848
2055501,1604
2056047,1450
2056363,1159
2056458,1250
2056614,1605
2057049,1974
2059134,1803
2059935,1607
2060920,1745
2061396,1998
2069222,1561
2072513,1951
2072595,1638
2072771,1857
2072943,1263
2074265,1774
2075365,1315
2076868,1641
2076938,1259
2077584,1718
2078082,1733
2079946,1032
2089462,1978
2147114,1606
2151269,1430
2151297,1813
2151666,1778
2156591,1226
2157330,1835
2157804,1111
2175487,1213
2429625,1035
2429727,1905
2447316,1244
2450054,1887
2459236,1427
2463182,1569
2467998,1176
2577020,1581
2577736,1954
2578831,1224
2583073,1686
2583148,1587
2587251,1431
2587313,1975
2588584,1187
2589078,1413
2589170,1177
2589824,1325
2590697,1630
2590835,1447
2591806,1611
2592111,1508
2593259,1736
2593358,1618
2594328,1933
2594695,1832
2597440,1682
2599112,1308
2599924,1504
2601122,1009
2601869,1670
2602044,1044
2603488,1788
2603635,1614
2603684,1023
2605437,1946
2605651,1572
2607299,1751
2610149,1514
2611739,1449
2612054,1829
2732318,1065
2732919,1568
2734094,1196
2734410,1169
2735337,1434
2735746,1472
2736470,1328
2736597,1795
2799492,1968
2799903,1018
2801247,1802
2801671,1659
2802344,1468
2803655,1730
2825545,1792
2906418,1073
2909969,1796
2950389,1172
2954187,1307
2954209,1939
2973694,1703
2975641,1721
3554111,1843
3561703,1852
4015154,1204
4024871,1706
4025385,1544
4031940,1211
4032187,1197
4034875,1896
4037675,1333
4038301,1419
4050317,1435
4121716,1482
4123706,1248
4123821,1538
