t0,x,y,sigma,gamma,e,theta_e,theta_gamma,zs,zl,snx,sny,MB,mu,sysno,imno,mag,x0,x1,c,twinkles_sysno,bulge_magnorm,r_eff,lens_sed,t_start
0.0,0.2675,-0.4957,171.981336621,0.0738286963584,0.31620960465,79.1602034585,134.088420053,0.734945395493,0.39901291919,0.10270285082,-0.149628458562,-19.5349641656,2.1795,105,0,22.8072185524,5.02201673116e-06,0.0,0.0,1000,20.85131073,1.05133897704,Burst.62E09.04Z.spec,60352.3380881
14.945,-0.125,0.1134,171.981336621,0.0738286963584,0.31620960465,79.1602034585,134.088420053,0.734945395493,0.39901291919,0.10270285082,-0.149628458562,-19.5349641656,-0.9887,105,1,23.6654494004,5.02201673116e-06,0.0,0.0,1000,20.85131073,1.05133897704,Burst.62E09.04Z.spec,60367.2830881
0.0,-0.2566,-0.4932,165.882504786,0.060947961457,0.556837491431,223.996858203,85.4951954118,0.570128553123,0.304755327059,-0.063713447476,-0.163734711897,-19.5705319535,1.6892,126,0,22.1118926441,9.6968507979e-06,0.0,0.0,1001,20.867729187,0.51462000332,Burst.32E09.02Z.spec,60388.5113169
11.046,-0.0276,0.1673,165.882504786,0.060947961457,0.556837491431,223.996858203,85.4951954118,0.570128553123,0.304755327059,-0.063713447476,-0.163734711897,-19.5705319535,-1.1577,126,1,22.5221052427,9.6968507979e-06,0.0,0.0,1001,20.867729187,0.51462000332,Burst.32E09.02Z.spec,60399.5573169
0.0,0.3682,0.4532,225.894438764,0.0643661888334,0.40709395868,260.542328427,31.715261585,0.826762735485,0.571931272829,0.124652673273,0.109589052314,-19.6022537283,2.0976,187,0,23.2994009631,3.98810245534e-06,0.0,0.0,1002,19.8186206818,1.32477494872,Burst.32E09.02Z.spec,59983.1595563
33.1,-0.2047,-0.0689,225.894438764,0.0643661888334,0.40709395868,260.542328427,31.715261585,0.826762735485,0.571931272829,0.124652673273,0.109589052314,-19.6022537283,-1.2195,187,1,23.8882531373,3.98810245534e-06,0.0,0.0,1002,19.8186206818,1.32477494872,Burst.32E09.02Z.spec,60016.2595563
0.0,0.4561,-1.381,341.766772307,0.0839581684935,0.0933232045508,103.06017836,89.9969222608,0.794853241522,0.503016591806,0.162632230802,-0.241030024529,-19.1691929924,2.8971,218,0,23.2366935815,2.9517452686e-06,0.0,0.0,1003,17.4806804657,2.15477051776,Inst.25E09.02Z.spec,60419.990722
118.907,-0.6168,0.4604,341.766772307,0.0839581684935,0.0933232045508,103.06017836,89.9969222608,0.794853241522,0.503016591806,0.162632230802,-0.241030024529,-19.1691929924,-2.4831,218,1,23.404116772,2.9517452686e-06,0.0,0.0,1003,17.4806804657,2.15477051776,Inst.25E09.02Z.spec,60538.897722
0.0,0.6177,-0.262,181.142453921,0.0657352988673,0.132925593583,19.3807852121,340.220989529,0.554654273615,0.297405491236,0.196978676013,-0.109450063408,-19.353446175,2.2661,280,0,21.9374346509,8.49125740369e-06,0.0,0.0,1004,19.538690567,0.617999583901,Burst.32E09.02Z.spec,60025.5939301
15.622,-0.1513,0.1072,181.142453921,0.0657352988673,0.132925593583,19.3807852121,340.220989529,0.554654273615,0.297405491236,0.196978676013,-0.109450063408,-19.353446175,-0.9153,280,1,22.921723672,8.49125740369e-06,0.0,0.0,1004,19.538690567,0.617999583901,Burst.32E09.02Z.spec,60041.2159301
