obsHistIDs, filter_index, moonAlt, moonPhase, rotSkyPos, altitude, vSkyBright, filtSkyBrightness, rawSeeing, airmass, dist2Moon, sunAlt, field, ra, dec, randomDitherFieldPerVisitRA, randomDitherFieldPerVisitDec
40336,2,-19.2875355533,47.753971,292.860730671,67.676686141,21.519379,21.239379,0.546284,1.081018,122.904489084,-33.7896703058,1305,89.9551759765,-30.452764107,89.1788674028,-30.102457711
40337,2,-19.1862366151,47.748875,292.413537112,70.1917989743,21.533935,21.253935,0.546284,1.06289,122.048776617,-33.8991052447,1323,93.1078762442,-29.9663229389,93.2736817912,-29.345752351
40338,2,-19.0847657896,47.74378,291.308129637,72.6633097194,21.546468,21.266468,0.546284,1.047593,121.122017384,-34.0082537047,1333,96.2172036068,-29.4075744971,97.8098329394,-29.5189001967
40345,2,-18.3466815579,47.706946,300.479350473,68.3963211317,21.523732,21.243732,0.60042,1.075556,119.807136539,-34.7865595736,1212,92.1411245564,-32.9919984634,90.7676597758,-32.629086996
40366,2,-16.1223448056,47.598306,294.108861932,63.4451636409,21.490688,21.210688,0.578453,1.117936,122.937777932,-37.02957475,1305,89.9551759765,-30.452764107,89.8239080455,-29.1565043913
40367,2,-16.0163476135,47.59321,293.914457352,65.9426293741,21.508267,21.228267,0.578453,1.095127,122.09489972,-37.1319050122,1323,93.1078762442,-29.9663229389,93.8614416223,-29.0455224664
40368,2,-15.9102358299,47.588116,293.241862196,68.3994723996,21.523751,21.243751,0.578453,1.075533,121.180516374,-37.2339487955,1333,96.2172036068,-29.4075744971,97.6346864636,-29.8804938612
193115,2,23.3096992751,55.119407,119.151615526,47.4672614954,20.325601,20.359253,0.690331,1.357057,58.1545286564,-38.7439790645,1305,89.9551759765,-30.452764107,90.950552449,-29.8408451818
193117,2,23.4663459363,55.110828,121.437144171,48.8608094447,20.307885,20.341514,0.690331,1.327825,55.2557059877,-38.4888982541,1413,87.901867126,-27.8835640578,89.695220843,-27.7200991989
193156,2,26.4094582425,54.937462,119.194587361,53.2620420438,20.382073,20.415239,0.48177,1.247852,58.1804836445,-33.23871409,1305,89.9551759765,-30.452764107,90.0757430786,-29.6854590277
193157,2,26.4766661919,54.933171,120.68954884,50.6326814262,20.353019,20.386175,0.48177,1.293505,58.4182611295,-33.106704614,1323,93.1078762442,-29.9663229389,92.6758029938,-30.9700304044
193158,2,26.5435876624,54.928881,122.153685189,48.0122016544,20.322287,20.35543,0.48177,1.345379,58.7359662269,-32.9745805465,1333,96.2172036068,-29.4075744971,96.7069954978,-30.0820604135
193159,2,26.6102226539,54.924589,120.258856465,46.7431574339,20.33847,20.371602,0.48177,1.373086,61.7273788753,-32.8423991831,1234,98.5356773248,-31.8503800566,97.9752851923,-30.8297130404
193192,2,28.8376533783,54.767946,119.095064592,51.6778137403,20.394062,20.426776,0.517455,1.274642,61.7299571854,-27.9629187125,1234,98.5356773248,-31.8503800566,97.6938749881,-31.3081327993
193193,2,28.8932302844,54.763625,121.542625701,53.307993259,20.378984,20.411687,0.517455,1.247105,58.7414666218,-27.8282736306,1333,96.2172036068,-29.4075744971,96.882931218,-28.3489776748
193194,2,28.9480623454,54.759334,119.981373005,56.2052116458,20.406828,20.439519,0.517455,1.203322,58.4322985955,-27.69225345,1323,93.1078762442,-29.9663229389,92.9330099233,-31.4286258236
193195,2,29.0032381811,54.754995,125.623517597,52.117558848,20.332689,20.365369,0.517455,1.266994,56.1276904561,-27.5572072977,1464,97.0530344383,-26.341505448,98.1892125247,-26.2555617788
193196,2,29.0574399885,54.750705,124.495707473,55.0083028118,20.360959,20.393627,0.517455,1.220654,55.7708523413,-27.4204995678,1447,94.0409380135,-26.9236878637,95.6436074492,-27.3414313921
193197,2,29.1112980212,54.746414,123.372939377,57.9036877337,20.387242,20.4199,0.517455,1.180423,55.4990984591,-27.2853388239,1431,90.9908544869,-27.4389488088,91.7463175198,-26.5410093523
193198,2,29.1648695751,54.742123,122.274579284,60.8078962057,20.411716,20.444362,0.517455,1.145492,55.3129444715,-27.1500634885,1413,87.901867126,-27.8835640578,87.8340637577,-27.0239554778
193218,2,30.1871408732,54.654385,125.681558221,61.849590773,20.381959,20.414371,0.516882,1.134159,52.6225638487,-24.3715619568,1542,89.0888637902,-24.8893439163,89.8268501506,-24.8969642549
193219,2,30.2334931588,54.650094,126.205700012,59.2245273388,20.361747,20.394147,0.516882,1.163904,52.8675033061,-24.23508341,1564,92.1208418505,-24.4157942986,92.2873361062,-24.1533796284
193220,2,30.2795016697,54.645802,126.821457755,56.5849107767,20.340374,20.372763,0.516882,1.198034,53.2166637864,-24.0986048632,1568,95.1401002477,-23.8813965631,95.9864545848,-24.7377965795
193221,2,30.3257966596,54.641457,122.210178828,58.5619016488,20.393353,20.425731,0.561266,1.172055,55.7751495248,-23.9620117248,1447,94.0409380135,-26.9236878637,94.3797220258,-28.2671020059
193222,2,30.3710603254,54.637167,123.338160839,55.9524799624,20.37146,20.403826,0.561266,1.206897,56.1267737237,-23.8236997131,1464,97.0530344383,-26.341505448,96.691549384,-25.0313801537
193223,2,30.4169542448,54.632787,121.093197606,61.6003541321,20.417241,20.449595,0.561266,1.136816,55.5087814458,-23.687049279,1431,90.9908544869,-27.4389488088,90.0885855288,-28.2709981189
193224,2,30.461587657,54.628496,120.010823036,64.5090889707,20.43824,20.470583,0.561266,1.107847,55.3280132615,-23.5475340558,1413,87.901867126,-27.8835640578,88.598893531,-28.1248938811
194070,2,21.4314290311,45.293603,111.602724688,50.835680373,20.579923,20.569037,0.413767,1.289765,54.4744207383,-29.324438321,1464,97.0530344383,-26.341505448,95.6044729109,-26.301742177
194072,2,21.5896799741,45.285133,114.3937167,52.0145410365,20.564024,20.553083,0.413767,1.26877,51.8511907691,-29.0568670307,1568,95.1401002477,-23.8813965631,94.3952557963,-23.5959489895
194111,2,24.9653754157,45.089744,104.060422864,57.5495425205,20.635793,20.623569,0.552529,1.185039,54.4968806839,-22.8118562469,1464,97.0530344383,-26.341505448,96.4211069044,-27.7749885557
194112,2,25.0324114777,45.085507,102.93627967,60.4407448506,20.666249,20.653997,0.552529,1.149632,54.8439212204,-22.6750912212,1447,94.0409380135,-26.9236878637,95.1629994015,-26.4636027542
194113,2,25.0991610608,45.08127,101.827205266,63.338077829,20.694847,20.682568,0.552529,1.118983,55.2803431729,-22.5383261955,1431,90.9908544869,-27.4389488088,90.6475971851,-26.423094638
194114,2,25.1676295174,45.076903,100.66576252,56.6304609214,20.654043,20.641735,0.552529,1.197406,57.1777502073,-22.401503874,1365,99.2852207124,-28.7786387254,99.3779805396,-29.0701023558
194125,2,25.961347951,45.024823,107.847845777,60.6024335403,20.630589,20.617939,0.542199,1.147799,51.8858547157,-20.7125961813,1568,95.1401002477,-23.8813965631,95.7057358886,-23.6003034688
195754,2,-4.4123479803,27.625238,97.7632156254,45.6301869169,21.143062,21.016228,0.790794,1.398917,62.6371785582,-41.7585965036,1305,89.9551759765,-30.452764107,91.2632692161,-30.727440074
195755,2,-4.29420408295,27.621462,100.933047331,44.1045721958,21.111012,20.984153,0.790794,1.436848,59.5439513096,-41.6371867468,1431,90.9908544869,-27.4389488088,89.7970395489,-28.0132244069
195756,2,-4.17560181935,27.617668,99.1439866159,43.1398831561,21.098738,20.971854,0.790794,1.46246,61.0160517726,-41.5160634689,1323,93.1078762442,-29.9663229389,93.5800946749,-30.2029545083
195757,2,-4.05751521778,27.61389,95.973925727,44.7711512946,21.127948,21.001039,0.790794,1.419902,64.1126021764,-41.3941953459,1212,92.1411245564,-32.9919984634,91.5378001288,-31.5655627367
195782,2,-0.994597436568,27.51501,97.8034372626,48.2445933361,21.117747,20.990189,0.599469,1.340496,64.1649705189,-38.1613382827,1212,92.1411245564,-32.9919984634,93.5536633376,-32.5326581991
195783,2,-0.878115116817,27.511215,101.376058298,46.9527453954,21.088172,20.960589,0.599469,1.368385,61.0736340311,-38.0354021593,1323,93.1078762442,-29.9663229389,93.1859840826,-30.6157705997
195784,2,-0.761747388626,27.507419,99.9352986267,49.8536307121,21.128725,21.001117,0.599469,1.30822,62.7067356345,-37.9091222613,1305,89.9551759765,-30.452764107,91.2150157893,-31.5661929903
195785,2,-0.645436956215,27.503624,103.575414091,48.3880046722,21.096983,20.96935,0.599469,1.337513,59.6149980762,-37.7827277717,1431,90.9908544869,-27.4389488088,90.9536688172,-26.2166006487
201786,2,-28.5241881686,31.402153,18.1411615968,47.0557632069,21.325795,21.045795,0.790102,1.366093,119.246669224,-41.1906807371,1220,95.3622932807,-32.459147714,96.0856082973,-32.0611139337
201787,2,-28.5894480614,31.40687,21.5467081395,45.7994386496,21.309318,21.029318,0.790102,1.394893,121.755021156,-41.0788393755,1333,96.2172036068,-29.4075744971,97.4259971027,-28.799265206
201788,2,-28.6541922923,31.411571,24.6975176465,44.3800503037,21.289992,21.009992,0.790102,1.429773,124.220802323,-40.9664823519,1464,97.0530344383,-26.341505448,97.7983815843,-25.4053497066
201791,2,-28.8465342241,31.425656,26.754436131,45.6539646654,21.307373,21.027373,0.790102,1.39835,127.193937617,-40.6296404641,1568,95.1401002477,-23.8813965631,94.9896525714,-23.8039899649
201792,2,-28.9100179478,31.430349,23.5320641954,47.6761619075,21.333716,21.053716,0.790102,1.352542,124.810204007,-40.5167677785,1447,94.0409380135,-26.9236878637,95.5372554879,-26.2193508461
201793,2,-28.9736162631,31.435073,22.4176612838,50.5649578148,21.368768,21.088768,0.790102,1.294761,125.306328161,-40.4038950928,1431,90.9908544869,-27.4389488088,91.5943469183,-26.4006919883
201794,2,-29.0368135079,31.439785,25.9816879527,48.8490638099,21.348309,21.068309,0.790102,1.328063,127.788839696,-40.2901056747,1564,92.1208418505,-24.4157942986,93.1162207738,-25.1920375194
201827,2,-31.4022124693,31.636284,20.7802052011,53.629422582,21.402742,21.122742,0.584316,1.241933,119.357880332,-35.4797239141,1220,95.3622932807,-32.459147714,94.5082627733,-33.2418653579
