obshistid,expmjd,filter,rotskypos,start_run,end_run,altitude,rawseeing,airmass,moonalt,moonphase,dist2moon,sunalt,cputime,hostname,cputime_fell,runlimit,vskybright,filtskybrightness
    200,59580.12500,2,256.4157410,57448.367,57448.730,70.84313965, 0.7441200, 1.0586240,-36.29166412, 3.8842289, 124.4370346,-30.80948830, 30202.13,3,  51645.64,0,21.537407,21.257406
    220,59580.13672,1,256.7194214,57448.547,57448.906,67.74830627, 0.8692260, 1.0804650,-36.21969986, 3.8387139, 124.3299484,-32.22532272, 25589.48,3,  43758.01,0,21.519819,21.929819
    230,59580.14062,3,256.7518921,57448.555,57448.918,66.02307129, 0.7912410, 1.0944420,-36.09542465, 3.8128691, 124.2682419,-32.93991470, 28681.54,3,  49045.43,0,21.508802,20.148802
    250,59580.15234,4,256.6385193,57448.555,57449.102,62.99894333, 0.9288940, 1.1223390,-35.73320007, 3.7677610, 124.1589203,-34.05701065, 40600.57,3,  69426.98,0,21.487349,19.337349
    276,59580.16406,5,256.2673950,57448.555,57449.480,59.19908905, 1.1328460, 1.1642120,-35.02181625, 3.7113960, 124.0195770,-35.20292664, 66684.06,3, 114029.75,0,21.456421,17.299999
   1637,59582.12500,0,256.6275024,57448.555,57448.695,69.13950348, 0.6251030, 1.0701489,-26.66597176, 0.3424190, 104.5352936,-30.87022209, 10283.64,3,  17585.02,0,21.528069,22.188068
   2226,59583.06641,0,218.8479309,57448.555,57448.711,86.36570740, 0.7898560, 1.0020150, -5.49111271, 2.7836330,  94.4784470,-19.03594971, 10599.98,3,  18125.97,0,21.578720,22.179955
   2942,59584.06250,0,221.3967896,57448.555,57448.750,86.22006226, 0.7870500, 1.0021800,  4.34651518, 7.9212532,  83.7612152,-18.57305717, 15075.64,3,  25779.34,0,21.548565,22.041338
   3665,59585.06250,0,229.5531311,57448.555,57448.805,85.59221649, 0.5832950, 1.0029670, 13.10520649,15.1737223,  73.5242920,-18.58583450, 19343.58,3,  33077.52,0,21.471758,21.811424
   4571,59586.15234,0,255.9954834,57448.555,57448.703,57.20783234, 0.5368660, 1.1895720, -6.16680193,24.7582855,  63.4251099,-34.68440247, 10655.46,3,  18220.84,0,21.333315,21.993315
 185870,59825.26172,2, 77.0465546,57448.559,57448.984,49.10746765, 0.5836430, 1.3228630,-15.57150364,44.9931488, 129.9160614,-58.12673950, 30235.59,3,  51702.86,0,21.351458,21.071457
 185880,59825.26953,1, 77.0465546,57448.559,57448.887,50.81682968, 0.7038640, 1.2901090,-16.84942818,45.0548592, 129.8891907,-56.79146194, 24276.33,3,  41512.53,0,21.371683,21.781685
 185900,59825.27734,3, 77.0465546,57448.559,57448.988,53.82044601, 0.8837640, 1.2388990,-19.03130913,45.1630783, 129.8410034,-54.33776855, 29461.60,3,  50379.34,0,21.404753,20.044752
