id,ra,dec,mag_norm,redshift
213934178332,53.0529008,-27.7032864,20.9071879,0.48
213934179356,53.0523564,-27.7028945,22.4977185,0.48
233595183132,53.0833954,-27.7073993,21.9072214,0.66
233595184156,53.0836953,-27.7072784,21.7615011,0.66
485837983772,52.7858621,-27.3042207,20.1245603,0.75
485837984796,52.7860009,-27.3040053,22.3567082,0.75
551311822876,52.9699339,-27.4221889,20.6403493,0.69
551311823900,52.9699015,-27.4217371,22.2740873,0.69
785592844316,52.9006344,-27.281874,22.3661929,0.62
785592845340,52.9006682,-27.2816417,23.3145904,0.62
794901004316,53.1283837,-27.5017231,22.5254633,0.62
794901005340,53.1284176,-27.5014908,23.3303477,0.62
957522223132,52.8538272,-27.2302651,22.1469446,0.66
957522224156,52.8541257,-27.2301442,21.6849011,0.66
1072506978332,53.2552142,-27.5926328,21.286628,0.48
1072506979356,53.2546704,-27.592241,22.7445811,0.48
1257605247004,53.14032,-27.6887374,22.8261324,0.62
1257605248028,53.1410102,-27.6884505,22.3921765,0.62
1257605249052,53.1410396,-27.6881367,22.0873492,0.62
1257605250076,53.1403979,-27.6880396,23.5636215,0.62
1302364684316,53.0173367,-27.5841788,22.634217,0.62
1302364685340,53.0173706,-27.5839465,23.4430808,0.62
1370163503132,53.2360533,-27.4607495,22.2548154,0.66
1370163504156,53.2363525,-27.4606286,21.7530079,0.66
2098411823132,52.9735315,-27.6448271,22.4367434,0.66
2098411824156,52.9738311,-27.6447061,22.1529156,0.66
2136914047004,52.8413258,-27.2085207,23.1331522,0.62
2136914048028,52.842013,-27.2082339,22.5274605,0.62
2136914049052,52.8420422,-27.20792,22.1544794,0.62
2136914050076,52.8414033,-27.2078229,23.4656067,0.62
2379735674908,53.1731959,-27.5312879,23.1042596,0.86
2379735675932,53.1725102,-27.5312019,22.6127096,0.86
2379735676956,53.1730735,-27.5308075,20.9157537,0.86
2379735677980,53.1731753,-27.5308447,20.781165,0.86
2481019007004,53.1322292,-27.4676365,23.1334452,0.62
2481019008028,53.132918,-27.4673496,22.4916461,0.62
2481019009052,53.1329472,-27.4670357,22.2589442,0.62
2481019010076,53.1323068,-27.4669386,23.6707027,0.62
2488791474204,53.1652191,-27.37383,19.978247,0.55
2488791475228,53.1650237,-27.373739,19.9187843,0.55
2798520447004,52.9583937,-27.3796354,22.857515,0.62
2798520448028,52.959082,-27.3793486,22.2478254,0.62
2798520449052,52.9591112,-27.3790347,21.9934778,0.62
2798520450076,52.9584713,-27.3789376,23.3961454,0.62
2857799737372,53.0919876,-27.2312512,18.6171096,1.33
2857799738396,53.0923536,-27.2313561,20.3948622,1.33
3311739404316,53.0180269,-27.6503682,22.5542317,0.62
3311739405340,53.0180609,-27.6501358,23.4147367,0.62
3642798452764,53.060267,-27.7229198,21.2153571,0.61
3642798453788,53.0603633,-27.7225727,23.0845255,0.61
3770358276124,53.1622824,-27.435094,20.5423216,0.91
3770358277148,53.1625346,-27.4350893,21.9147226,0.91
4190905962524,53.0612846,-27.5833791,21.9454603,1.57
4190905963548,53.0613375,-27.5832367,22.7827314,1.57
4388301025308,52.970914,-27.2620036,20.5234598,0.49
4388301026332,52.97051,-27.2618572,22.7607436,0.49
4462111924252,52.9147937,-27.4641335,22.0667484,1.31
4462111925276,52.9147952,-27.46396,21.498064,1.31
4951706099740,53.142889,-27.6897155,23.067395,1.42
4951706100764,53.143151,-27.6896308,22.7036527,1.42
4951788404764,53.2570368,-27.2711806,21.3692414,1.49
4951788405788,53.2565615,-27.2708521,21.4936583,1.49
4951788406812,53.2573714,-27.2706209,22.2683586,1.49
4951788407836,53.2566733,-27.2703454,21.4492916,1.49
6895647969308,53.1820318,-27.3505147,23.03713,1.33
6895647970332,53.1818031,-27.3503088,21.685756,1.33
7297218994204,52.9008865,-27.2822685,20.2500486,0.55
7297218995228,52.9006913,-27.2821775,20.2386749,0.55
7323228532764,53.065123,-27.4797759,21.3147296,0.61
7323228533788,53.0652191,-27.4794288,23.4897839,0.61
7911066005532,53.1364549,-27.5111096,23.6360299,1.18
7911066006556,53.1366611,-27.5110859,21.7570413,1.18
9284618874908,53.1587869,-27.6159115,22.590879,0.86
9284618875932,53.1581007,-27.6158255,22.4672924,0.86
9284618876956,53.1586643,-27.6154312,20.4971674,0.86
9284618877980,53.1587663,-27.6154683,20.362627,0.86
9343048839196,52.7937443,-27.4787293,22.4773525,1.04
9343048840220,52.794024,-27.4787026,22.228314,1.04
10375599972380,53.1356098,-27.1720564,23.3378235,2.47
10375599973404,53.1350988,-27.1719624,23.0195102,2.47
10732892721180,53.3094869,-27.5705267,23.8707131,1.63
10732892722204,53.3098126,-27.5705296,22.5737305,1.63
11289805434908,53.2021761,-27.4866859,23.1456745,0.86
11289805435932,53.2014907,-27.4865998,22.8101142,0.86
11289805436956,53.2020538,-27.4862055,21.0962108,0.86
11289805437980,53.2021556,-27.4862427,20.9616427,0.86
11399077867548,53.0425547,-27.3549636,23.5547041,3.26
11399077868572,53.0424129,-27.3547505,23.634035,3.26
12729785565212,52.9252946,-27.5212616,22.7218964,1.15
12729785566236,52.9251568,-27.5209413,22.2364389,1.15
13159835463708,53.2124586,-27.3367993,21.7770124,1.92
13159835464732,53.2121649,-27.3366685,21.4504323,1.92
13159835465756,53.2127533,-27.336495,21.8418513,1.92
13159835466780,53.2123532,-27.3363455,21.9936554,1.92
13205637955612,52.7950635,-27.2506169,21.6790597,1.44
13205637956636,52.7954394,-27.2504191,22.3459311,1.44
13205637957660,52.7949032,-27.2503995,21.8845256,1.44
13205637958684,52.7951721,-27.2501258,21.8420286,1.44
13214803370012,53.0294388,-27.5051599,20.861834,1.84
13214803371036,53.0291337,-27.5050071,23.1668805,1.84
13740514000924,52.7482963,-27.2624535,23.0051841,0.74
