id,ra,dec,mag_norm,redshift,twinkles_id,image_num,lens_gal_id
213934178332,53.052941,-27.7033144,21.1014594,0.48,24,0,21393434
213934179356,53.0523965,-27.7029225,22.6117574,0.48,24,1,21393434
233595183132,53.0834399,-27.7074247,21.8323018,0.66,74,0,23359514
233595184156,53.0837398,-27.7073037,21.5520337,0.66,74,1,23359514
485837983772,52.7858168,-27.3042272,20.0769006,0.75,289,0,48583706
485837984796,52.7859556,-27.3040117,21.9771421,0.75,289,1,48583706
551311822876,52.9699268,-27.4221909,20.3711495,0.69,113,0,55131162
551311823900,52.9698944,-27.4217391,22.2610059,0.69,113,1,55131162
785592844316,52.9006004,-27.2818658,22.7653619,0.62,128,0,78559258
785592845340,52.9006342,-27.2816335,23.6345518,0.62,128,1,78559258
794901004316,53.1284066,-27.5017185,22.6010005,0.62,128,0,79490074
794901005340,53.1284405,-27.5014862,23.507337,0.62,128,1,79490074
957522223132,52.8537806,-27.2302554,22.4991924,0.66,74,0,95752218
957522224156,52.8540792,-27.2301344,22.1263038,0.66,74,1,95752218
1072506978332,53.2552647,-27.5926263,21.5086093,0.48,24,0,107250714
1072506979356,53.2547208,-27.5922344,22.9918115,0.48,24,1,107250714
1257605247004,53.1403691,-27.6887546,23.3059286,0.62,31,0,125760538
1257605248028,53.1410594,-27.6884676,22.7442967,0.62,31,1,125760538
1257605249052,53.1410886,-27.6881537,22.5028609,0.62,31,2,125760538
1257605250076,53.1404469,-27.6880567,23.5988453,0.62,31,3,125760538
1302364684316,53.0173568,-27.5841959,22.3867826,0.62,128,0,130236442
1302364685340,53.0173907,-27.5839635,23.170016,0.62,128,1,130236442
1370163503132,53.2360842,-27.4607287,21.7000374,0.66,74,0,137016346
1370163504156,53.2363834,-27.4606077,21.3918237,0.66,74,1,137016346
2098411823132,52.9735542,-27.6448562,21.6724431,0.66,74,0,209841178
2098411824156,52.9738539,-27.6447352,21.2196815,0.66,74,1,209841178
2136914047004,52.8412748,-27.2085096,22.3451706,0.62,31,0,213691418
2136914048028,52.841962,-27.2082227,22.0280872,0.62,31,1,213691418
2136914049052,52.8419912,-27.2079087,21.7665389,0.62,31,2,213691418
2136914050076,52.8413522,-27.2078117,23.3445525,0.62,31,3,213691418
2379735674908,53.1732283,-27.5312824,23.3323577,0.86,155,0,237973530
2379735675932,53.1725425,-27.5311963,22.8539042,0.86,155,1,237973530
2379735676956,53.1731058,-27.5308019,21.1331114,0.86,155,2,237973530
2379735677980,53.1732077,-27.5308391,20.9984706,0.86,155,3,237973530
2481019007004,53.1322481,-27.4676273,23.1598547,0.62,31,0,248101914
2481019008028,53.132937,-27.4673403,22.5180682,0.62,31,1,248101914
2481019009052,53.1329662,-27.4670264,22.2511761,0.62,31,2,248101914
2481019010076,53.1323257,-27.4669294,23.6248948,0.62,31,3,248101914
2488791474204,53.1652298,-27.3738058,20.0496835,0.55,106,0,248879130
2488791475228,53.1650344,-27.3737149,19.9378237,0.55,106,1,248879130
2798520447004,52.9583796,-27.3796334,22.7651793,0.62,31,0,279852058
2798520448028,52.959068,-27.3793464,22.2709172,0.62,31,1,279852058
2798520449052,52.9590972,-27.3790325,21.9895512,0.62,31,2,279852058
2798520450076,52.9584572,-27.3789355,23.4225585,0.62,31,3,279852058
2857799737372,53.0919706,-27.2312169,18.6952693,1.33,14,0,285779994
2857799738396,53.0923367,-27.2313218,20.5088549,1.33,14,1,285779994
3311739404316,53.0180559,-27.6503933,22.0903141,0.62,128,0,331173914
3311739405340,53.0180898,-27.650161,23.0223746,0.62,128,1,331173914
3642798452764,53.0603108,-27.7229494,21.3171279,0.61,91,0,364279834
3642798453788,53.0604071,-27.7226023,23.2217419,0.61,91,1,364279834
3770358276124,53.1623008,-27.4350777,20.5983604,0.91,126,0,377035802
3770358277148,53.162553,-27.435073,21.9802869,0.91,126,1,377035802
4190905962524,53.06131,-27.5833915,22.0958172,1.57,401,0,419090458
4190905963548,53.061363,-27.5832491,23.0576849,1.57,401,1,419090458
4388301025308,52.9708861,-27.2619857,20.4103838,0.49,55,0,438830106
4388301026332,52.970482,-27.2618393,22.7214213,0.49,55,1,438830106
4462111924252,52.9147854,-27.4641464,22.2757596,1.31,294,0,446211098
4462111925276,52.9147868,-27.4639729,21.6034292,1.31,294,1,446211098
4951706099740,53.1429386,-27.6897325,22.9747901,1.42,122,0,495170586
4951706100764,53.1432006,-27.6896478,22.5020611,1.42,122,1,495170586
4951788404764,53.2570454,-27.2711342,21.3155086,1.49,216,0,495178778
4951788405788,53.25657,-27.2708058,21.3971726,1.49,216,1,495178778
4951788406812,53.2573799,-27.2705745,22.202938,1.49,216,2,495178778
4951788407836,53.2566817,-27.270299,21.3952584,1.49,216,3,495178778
6895647969308,53.1820416,-27.3504859,23.0492098,1.33,305,0,689564698
6895647970332,53.1818128,-27.35028,21.7852526,1.33,305,1,689564698
7297218994204,52.9008526,-27.2822603,20.0941268,0.55,106,0,729721882
7297218995228,52.9006573,-27.2821694,20.0756011,0.55,106,1,729721882
7323228532764,53.0651353,-27.4797751,21.5242921,0.61,91,0,732322842
7323228533788,53.0652314,-27.479428,23.4237658,0.61,91,1,732322842
7911066005532,53.1364801,-27.5111054,23.4789865,1.18,99,0,791106586
7911066006556,53.1366863,-27.5110816,21.7145694,1.18,99,1,791106586
9284618874908,53.1588286,-27.6159179,22.8992638,0.86,155,0,928461850
9284618875932,53.1581423,-27.6158318,22.5840994,0.86,155,1,928461850
9284618876956,53.158706,-27.6154374,20.8739029,0.86,155,2,928461850
