galtileid,twinkles_system
2562502182,1100
2562502839,1101
2562509140,1102
2562537853,1103
2562550679,1104
2562566662,1105
2562568906,1106
2562584643,1107
2562589896,1108
2562594929,1109
2562598273,1110
2562600501,1111
2562603484,1112
2562610683,1113
2562615035,1114
2562616704,1115
2562638091,1116
2562653933,1117
2562677479,1118
2562703878,1119
2562709462,1120
2562723085,1121
2562726678,1122
2562735243,1123
2562736195,1124
2562738732,1125
2562753831,1126
2562754701,1127
2562761929,1128
2562776422,1129
2562805199,1130
2562836897,1131
2562857231,1132
2562859036,1133
2562870678,1134
2562890325,1135
2562921121,1136
2562936592,1137
2562944584,1138
2562948635,1139
2562973484,1140
2563009824,1141
2563048823,1142
2563054139,1143
2563054724,1144
2563055071,1145
2563063902,1146
2563071421,1147
2563084364,1148
2563102856,1149
2563116885,1150
2563120453,1151
2563134795,1152
2563147306,1153
2563157357,1154
2563166759,1155
2563172054,1156
2563180583,1157
2563185157,1158
2563186651,1159
2563199861,1160
2563215044,1161
2563235910,1162
2563260024,1163
2563268045,1164
2563284493,1165
2563348800,1166
2563352737,1167
2563353432,1168
2563365142,1169
2563365315,1170
2563373201,1171
2563374460,1172
2563393337,1173
2563426216,1174
2563441156,1175
2563460931,1176
2563480930,1177
2563482582,1178
2563498516,1179
2563511659,1180
2563536798,1181
2563541272,1182
2563542504,1183
2563545333,1184
2563561774,1185
2563563120,1186
2563565422,1187
2563575744,1188
2563577163,1189
2563581624,1190
2563587989,1191
2563594079,1192
2563601101,1193
2563616324,1194
2563628072,1195
2563637900,1196
2563642162,1197
2563644111,1198
2563644858,1199
2563647885,1200
2563653024,1201
2563654127,1202
2563654241,1203
2563659560,1204
2563662606,1205
2563663322,1206
2563671387,1207
2563680201,1208
2563695724,1209
2563701191,1210
2563713453,1211
2563726575,1212
2563747293,1213
2563751016,1214
2563786118,1215
2563794301,1216
2563801508,1217
2563810889,1218
2563817051,1219
2563818454,1220
2563827128,1221
2563863228,1222
2563884205,1223
2563917988,1224
2563919466,1225
2563930427,1226
2563941774,1227
2563947288,1228
2563954439,1229
2563969158,1230
2563972579,1231
2563986634,1232
2563989601,1233
2563998241,1234
2564010802,1235
2564010822,1236
2564016115,1237
2564031670,1238
2564035068,1239
2564039411,1240
2564042253,1241
2564046310,1242
2564053774,1243
2564055057,1244
2564055648,1245
2564072811,1246
2564074574,1247
2564103713,1248
2564107207,1249
2564123644,1250
2564132456,1251
2564140802,1252
2564146200,1253
2564153134,1254
2564158362,1255
2564160469,1256
2564200368,1257
2564228236,1258
2564232077,1259
2564234371,1260
2564244185,1261
2564246251,1262
2564248813,1263
2564261577,1264
2564263079,1265
2564291010,1266
2564302103,1267
2564323146,1268
2564329597,1269
2564332054,1270
2564411380,1271
2564414569,1272
2564415759,1273
2564420178,1274
2564429086,1275
2564429095,1276
2564431764,1277
2564441682,1278
2564442527,1279
2564442914,1280
2564453041,1281
2564455029,1282
2564455792,1283
2564471905,1284
2564482869,1285
2564483976,1286
2564484683,1287
2564498481,1288
2564509864,1289
2564515288,1290
2564525745,1291
